id,ItemName,TransName,Freshness,Function,Description,HungerRegen,HydrationRegen,DiarrheaAdd
1,Coconut,椰子,,"eat(20),throw(60)",一个可提供水分和食物的果实。,28,50,20
2,Banana,香蕉,7,eat(5),这种甜蜜的果实能迅速缓解饥饿。,20,5,9
3,Stone,石头,,throw(90),硬而沉重，可以用作工具或武器。,,,
4,Durian,榴莲,5,eat(20),味道独特，有人爱它，有人恨它。,70,5,13
5,Mango,芒果,5,eat(10),一种热带水果，可以补充一定的饥饿和水分。,30,10,15
6,Pineapple,菠萝,6,eat(20),酸甜可口，富含维生素。,25,7,15
7,Apple,苹果,4,eat(10),红彤彤的果实，非常适合解馋。,20,5,15
8,Stick,树枝,,,灵活而坚韧，适合制作工具。,,,
9,Leaf,叶子,,,基本材料，可能用于制作或建造。,,,
10,Water,水,,,生命之源，无法生存而无。,0,50,0
11,Berries,浆果,4,,小而甜，但要小心，有些浆果可能会引起腹泻。,10,3,5
12,Fish,鱼,2,,从海中捕来，烹饪后味道鲜美。,40,5,10
13,Seashell,贝壳,,,海滩上常见的物品，光滑而美丽。,,,
14,Wood,木头,,,坚固的建筑材料，也可用作燃料。,,,
15,LeafyGreens,蔬菜,3,,新鲜的绿色蔬菜，对健康有益。,5,10,2.5
16,Meat,肉,2,,从动物体内获取，烹饪后提供大量能量。,50,60,10
